# Quantum Hall

date: 2015/11/18 13/54/38
current: 1e9A
gate: 0.120V

B (T); Vxx (V); Vxy (V)
0.000000000000000000e+00; -1.302741999999999967e-08; 9.505060000000000014e-07
0.000000000000000000e+00; -1.278814000000000005e-08; 9.512259999999999708e-07
0.000000000000000000e+00; -1.295214000000000073e-08; 9.509139999999999346e-07
0.000000000000000000e+00; -1.320935999999999997e-08; 9.531260000000000076e-07
0.000000000000000000e+00; -1.281234000000000003e-08; 9.508920000000000685e-07
0.000000000000000000e+00; -1.270748000000000005e-08; 9.510619999999999966e-07
0.000000000000000000e+00; -1.286969999999999910e-08; 9.509239999999999989e-07
0.000000000000000000e+00; -1.311345999999999909e-08; 9.535060000000000150e-07
0.000000000000000000e+00; -1.311884000000000016e-08; 9.505899999999999907e-07
0.000000000000000000e+00; -1.096343999999999993e-08; 9.513780000000000372e-07
2.000000000000000042e-03; -5.186460000000000307e-09; 9.514779999999999389e-07
4.000000000000000083e-03; -1.506397999999999971e-10; 9.508379999999999543e-07
5.000000000000000104e-03; 4.787480000000000098e-09; 9.511699999999999073e-07
6.000000000000000125e-03; 8.988919999999999602e-09; 9.509860000000000163e-07
7.000000000000000146e-03; 1.478379999999999934e-08; 9.512039999999999988e-07
8.999999999999999320e-03; 2.004899999999999973e-08; 9.526180000000000669e-07
1.099999999999999936e-02; 2.470039999999999796e-08; 9.501040000000000220e-07
1.200000000000000025e-02; 2.930239999999999840e-08; 9.508659999999999861e-07
1.299999999999999940e-02; 3.471020000000000200e-08; 9.532140000000001074e-07
1.499999999999999944e-02; 3.982839999999999949e-08; 9.505599999999999038e-07
1.600000000000000033e-02; 4.463739999999999973e-08; 9.508220000000000421e-07
1.700000000000000122e-02; 4.979960000000000079e-08; 9.511679999999999579e-07
1.899999999999999953e-02; 5.481580000000000172e-08; 9.506480000000000036e-07
2.100000000000000130e-02; 6.050040000000000089e-08; 9.506359999999999900e-07
2.199999999999999872e-02; 6.437560000000001166e-08; 9.503699999999999530e-07
2.299999999999999961e-02; 7.010500000000000472e-08; 9.504800000000000248e-07
2.400000000000000050e-02; 7.539980000000000261e-08; 9.524139999999999414e-07
2.599999999999999881e-02; 8.026000000000000533e-08; 9.504120000000000536e-07
2.800000000000000058e-02; 8.423999999999999200e-08; 9.499759999999999827e-07
2.900000000000000147e-02; 9.029400000000000107e-08; 9.503979999999999848e-07
2.999999999999999889e-02; 9.513619999999999662e-08; 9.521180000000000293e-07
3.200000000000000067e-02; 1.003565999999999948e-07; 9.504819999999999742e-07
3.400000000000000244e-02; 1.048968000000000053e-07; 9.500099999999999683e-07
3.500000000000000333e-02; 1.108074000000000026e-07; 9.504479999999999886e-07
3.599999999999999728e-02; 1.157481999999999962e-07; 9.524959999999999815e-07
3.699999999999999817e-02; 1.207928000000000042e-07; 9.502460000000000242e-07
3.899999999999999994e-02; 1.252569999999999946e-07; 9.500040000000000145e-07
4.100000000000000172e-02; 1.308921999999999894e-07; 9.501480000000000719e-07
4.200000000000000261e-02; 1.358752000000000016e-07; 9.500660000000000318e-07
4.299999999999999656e-02; 1.408661999999999965e-07; 9.499799999999999873e-07
