# Quantum Hall

date: 2015/11/18 13/34/22
current: 1e9A
gate: 0.040V

B (T); Vxx (V); Vxy (V)
1.670000000000000095e-01; 4.856460000000000594e-07; 5.952260000000000123e-07
1.680000000000000104e-01; 4.902419999999999769e-07; 5.939299999999999192e-07
1.700000000000000122e-01; 4.945580000000000005e-07; 5.939439999999999880e-07
1.710000000000000131e-01; 4.986700000000000045e-07; 5.941599999999999153e-07
1.719999999999999862e-01; 5.025159999999999716e-07; 5.949819999999999474e-07
1.739999999999999880e-01; 5.069860000000000109e-07; 5.937559999999999866e-07
1.749999999999999889e-01; 5.111239999999999915e-07; 5.937019999999999783e-07
1.769999999999999907e-01; 5.143700000000000194e-07; 5.936820000000000615e-07
1.779999999999999916e-01; 5.194719999999999283e-07; 5.943860000000000127e-07
1.789999999999999925e-01; 5.235060000000000027e-07; 5.935439999999999579e-07
1.799999999999999933e-01; 5.276680000000000105e-07; 5.931559999999999415e-07
1.829999999999999960e-01; 5.315599999999999768e-07; 5.934519999999999595e-07
1.839999999999999969e-01; 5.361000000000000426e-07; 5.939840000000000333e-07
1.849999999999999978e-01; 5.407580000000000833e-07; 5.932400000000000367e-07
1.859999999999999987e-01; 5.451140000000000464e-07; 5.932279999999999172e-07
1.880000000000000004e-01; 5.494919999999999814e-07; 5.932980000000000496e-07
1.900000000000000022e-01; 5.529660000000000561e-07; 5.940520000000000046e-07
1.910000000000000031e-01; 5.576680000000000409e-07; 5.931079999999999929e-07
1.920000000000000040e-01; 5.619220000000000471e-07; 5.929739999999999998e-07
1.930000000000000049e-01; 5.660739999999999905e-07; 5.928560000000000248e-07
1.950000000000000067e-01; 5.696079999999999215e-07; 5.939100000000000024e-07
1.960000000000000075e-01; 5.741140000000000016e-07; 5.928540000000000755e-07
1.980000000000000093e-01; 5.781219999999999936e-07; 5.927980000000000120e-07
1.990000000000000102e-01; 5.830839999999999556e-07; 5.928739999999999923e-07
2.010000000000000120e-01; 5.867200000000000551e-07; 5.934500000000000102e-07
2.020000000000000129e-01; 5.912799999999999318e-07; 5.927240000000000869e-07
2.039999999999999869e-01; 5.956480000000000143e-07; 5.925620000000000620e-07
2.049999999999999878e-01; 5.989120000000000097e-07; 5.925299999999999199e-07
2.059999999999999887e-01; 6.041000000000000691e-07; 5.924020000000000924e-07
2.079999999999999905e-01; 6.084280000000000004e-07; 5.924599999999999993e-07
2.099999999999999922e-01; 6.122039999999999410e-07; 5.923300000000000107e-07
2.109999999999999931e-01; 6.168360000000000053e-07; 5.924160000000000553e-07
2.119999999999999940e-01; 6.204660000000000451e-07; 5.932899999999999346e-07
2.129999999999999949e-01; 6.248019999999999854e-07; 5.921359999999999495e-07
2.149999999999999967e-01; 6.291000000000000415e-07; 5.923080000000000387e-07
