# Quantum Hall

date: 2015/11/18 13/24/45
current: 1e9A
gate: 0V

B (T); Vxx (V); Vxy (V)
0.000000000000000000e+00; -7.590999999999999946e-09; 5.115839999999999837e-07
0.000000000000000000e+00; -7.699439999999999625e-09; 5.118259999999999934e-07
0.000000000000000000e+00; -7.758600000000000070e-09; 5.117960000000000123e-07
0.000000000000000000e+00; -7.582939999999999873e-09; 5.130159999999999134e-07
0.000000000000000000e+00; -7.623259999999999998e-09; 5.118860000000000614e-07
0.000000000000000000e+00; -7.943219999999999377e-09; 5.116679999999999731e-07
1.000000000000000021e-03; -4.261559999999999913e-09; 5.119260000000000009e-07
2.000000000000000042e-03; -2.321960000000000014e-10; 5.132340000000000018e-07
4.000000000000000083e-03; 3.686040000000000229e-09; 5.119599999999999865e-07
6.000000000000000125e-03; 7.750360000000000521e-09; 5.122060000000000008e-07
7.000000000000000146e-03; 1.156014000000000057e-08; 5.120159999999999442e-07
8.000000000000000167e-03; 1.588078000000000107e-08; 5.128260000000000685e-07
8.999999999999999320e-03; 1.923260000000000243e-08; 5.122179999999999085e-07
1.099999999999999936e-02; 2.348519999999999910e-08; 5.122279999999999728e-07
1.299999999999999940e-02; 2.671059999999999832e-08; 5.130299999999999822e-07
1.400000000000000029e-02; 3.080259999999999949e-08; 5.121680000000000106e-07
1.499999999999999944e-02; 3.486259999999999746e-08; 5.124020000000000113e-07
1.700000000000000122e-02; 3.873319999999999773e-08; 5.123759999999999288e-07
1.799999999999999864e-02; 4.278680000000000035e-08; 5.133120000000000373e-07
2.000000000000000042e-02; 4.668979999999999897e-08; 5.122640000000000136e-07
2.100000000000000130e-02; 5.057940000000000093e-08; 5.122140000000000098e-07
2.199999999999999872e-02; 5.494659999999999387e-08; 5.123719999999999243e-07
2.400000000000000050e-02; 5.870699999999999755e-08; 5.123300000000000355e-07
2.500000000000000139e-02; 6.278580000000000626e-08; 5.121399999999999789e-07
2.699999999999999969e-02; 6.670759999999999575e-08; 5.124719999999999318e-07
2.800000000000000058e-02; 7.087860000000000048e-08; 5.121219999999999055e-07
2.900000000000000147e-02; 7.459160000000000203e-08; 5.129620000000000110e-07
3.099999999999999978e-02; 7.915600000000001079e-08; 5.121880000000000333e-07
3.200000000000000067e-02; 8.295759999999999899e-08; 5.119599999999999865e-07
3.400000000000000244e-02; 8.718959999999999347e-08; 5.119700000000000508e-07
3.500000000000000333e-02; 9.029840000000000077e-08; 5.132039999999999148e-07
3.699999999999999817e-02; 9.502679999999999697e-08; 5.117000000000000093e-07
3.799999999999999906e-02; 9.903820000000000072e-08; 5.118200000000000395e-07
3.899999999999999994e-02; 1.030961999999999964e-07; 5.118099999999999753e-07
4.100000000000000172e-02; 1.062616000000000070e-07; 5.120879999999999199e-07
4.200000000000000261e-02; 1.108305999999999998e-07; 5.114700000000000132e-07
4.399999999999999745e-02; 1.148152000000000102e-07; 5.113560000000000428e-07
4.499999999999999833e-02; 1.189924000000000061e-07; 5.112440000000000217e-07
4.599999999999999922e-02; 1.223020000000000055e-07; 5.110020000000000120e-07
4.700000000000000011e-02; 1.266388000000000156e-07; 5.110799999999999416e-07
4.900000000000000189e-02; 1.306367999999999962e-07; 5.111600000000000323e-07
5.099999999999999672e-02; 1.346536000000000140e-07; 5.109119999999999629e-07
5.199999999999999761e-02; 1.383630000000000062e-07; 5.108220000000000196e-07
5.299999999999999850e-02; 1.426702000000000039e-07; 5.106639999999999993e-07
5.500000000000000028e-02; 1.466064000000000044e-07; 5.108539999999999500e-07
5.700000000000000205e-02; 1.509404000000000219e-07; 5.107019999999999894e-07
5.800000000000000294e-02; 1.545180000000000076e-07; 5.107220000000000121e-07
5.899999999999999689e-02; 1.587123999999999939e-07; 5.103599999999999722e-07
5.999999999999999778e-02; 1.626870000000000062e-07; 5.102679999999999738e-07
6.199999999999999956e-02; 1.662521999999999831e-07; 5.101780000000000305e-07
6.400000000000000133e-02; 1.708946000000000009e-07; 5.100879999999999814e-07
6.500000000000000222e-02; 1.752384000000000189e-07; 5.100959999999999905e-07
6.600000000000000311e-02; 1.789102000000000161e-07; 5.099740000000000110e-07
6.800000000000000488e-02; 1.831072000000000106e-07; 5.107899999999999833e-07
6.900000000000000577e-02; 1.869778000000000108e-07; 5.096440000000000074e-07
7.099999999999999367e-02; 1.910798000000000035e-07; 5.094260000000000249e-07
7.199999999999999456e-02; 1.950080000000000214e-07; 5.094520000000000014e-07
7.299999999999999545e-02; 1.992299999999999913e-07; 5.096860000000000020e-07
7.399999999999999634e-02; 2.028480000000000175e-07; 5.091059999999999796e-07
7.699999999999999900e-02; 2.066239999999999846e-07; 5.089780000000000463e-07
7.799999999999999989e-02; 2.106899999999999894e-07; 5.093220000000000128e-07
7.900000000000000078e-02; 2.139680000000000006e-07; 5.087939999999999435e-07
8.000000000000000167e-02; 2.184139999999999863e-07; 5.085459999999999799e-07
8.100000000000000255e-02; 2.225840000000000031e-07; 5.084860000000000178e-07
8.300000000000000433e-02; 2.263959999999999846e-07; 5.081279999999999824e-07
8.500000000000000611e-02; 2.298760000000000131e-07; 5.079819999999999757e-07
8.599999999999999312e-02; 2.344700000000000078e-07; 5.078720000000000097e-07
8.699999999999999400e-02; 2.385000000000000247e-07; 5.081120000000000701e-07
8.899999999999999578e-02; 2.422600000000000001e-07; 5.078159999999999462e-07
8.999999999999999667e-02; 2.460819999999999929e-07; 5.078479999999999825e-07
9.199999999999999845e-02; 2.500559999999999992e-07; 5.076800000000000038e-07
9.299999999999999933e-02; 2.542779999999999692e-07; 5.075939999999999592e-07
9.400000000000000022e-02; 2.573940000000000084e-07; 5.075099999999999698e-07
9.500000000000000111e-02; 2.620720000000000190e-07; 5.072539999999999972e-07
9.800000000000000377e-02; 2.660520000000000321e-07; 5.071840000000000766e-07
9.900000000000000466e-02; 2.701880000000000104e-07; 5.074359999999999389e-07
1.000000000000000056e-01; 2.740999999999999993e-07; 5.067940000000000050e-07
1.019999999999999934e-01; 2.779739999999999982e-07; 5.066560000000000073e-07
1.029999999999999943e-01; 2.820539999999999659e-07; 5.065800000000000270e-07
1.049999999999999961e-01; 2.863020000000000182e-07; 5.073919999999999949e-07
1.059999999999999970e-01; 2.897480000000000082e-07; 5.064840000000000241e-07
1.069999999999999979e-01; 2.946220000000000292e-07; 5.062300000000000007e-07
