# Quantum Hall

date: 2015/11/18 13/44/09
current: 1e9A
gate: 0.080V

B (T); Vxx (V); Vxy (V)
1.880000000000000004e-01; 5.931079999999999929e-07; 7.346920000000000251e-07
1.890000000000000013e-01; 5.979380000000000170e-07; 7.347079999999999374e-07
1.900000000000000022e-01; 6.025080000000000639e-07; 7.346760000000000070e-07
1.920000000000000040e-01; 6.067659999999999687e-07; 7.346880000000000206e-07
1.930000000000000049e-01; 6.110319999999999885e-07; 7.345679999999999904e-07
1.950000000000000067e-01; 6.156259999999999567e-07; 7.344700000000000381e-07
1.960000000000000075e-01; 6.204439999999999672e-07; 7.345119999999999269e-07
1.980000000000000093e-01; 6.251140000000000216e-07; 7.344819999999999458e-07
1.990000000000000102e-01; 6.293260000000000331e-07; 7.345080000000000282e-07
2.010000000000000120e-01; 6.344559999999999738e-07; 7.344500000000000154e-07
2.020000000000000129e-01; 6.393739999999999918e-07; 7.346319999999999571e-07
2.030000000000000138e-01; 6.438060000000000410e-07; 7.341420000000000897e-07
2.049999999999999878e-01; 6.477839999999999460e-07; 7.342659999999999127e-07
2.069999999999999896e-01; 6.531539999999999471e-07; 7.343500000000000079e-07
2.079999999999999905e-01; 6.575619999999999691e-07; 7.341400000000000345e-07
2.089999999999999913e-01; 6.620919999999999706e-07; 7.342879999999999905e-07
2.099999999999999922e-01; 6.654259999999999924e-07; 7.343579999999999111e-07
2.119999999999999940e-01; 6.707740000000000215e-07; 7.342700000000000231e-07
2.129999999999999949e-01; 6.758180000000000235e-07; 7.353780000000000089e-07
2.149999999999999967e-01; 6.804840000000000734e-07; 7.342240000000000238e-07
2.159999999999999976e-01; 6.838160000000000399e-07; 7.341580000000000019e-07
2.169999999999999984e-01; 6.893219999999999835e-07; 7.340660000000000035e-07
2.190000000000000002e-01; 6.937800000000000092e-07; 7.339619999999999915e-07
2.210000000000000020e-01; 6.984900000000000031e-07; 7.339299999999999552e-07
2.220000000000000029e-01; 7.017780000000000257e-07; 7.341200000000000118e-07
2.230000000000000038e-01; 7.072919999999999783e-07; 7.341480000000000435e-07
2.250000000000000056e-01; 7.123479999999999939e-07; 7.344099999999999701e-07
2.260000000000000064e-01; 7.167440000000000023e-07; 7.336140000000000204e-07
2.280000000000000082e-01; 7.214819999999999221e-07; 7.340099999999999400e-07
2.290000000000000091e-01; 7.253719999999999390e-07; 7.338920000000000709e-07
2.310000000000000109e-01; 7.305680000000000075e-07; 7.348780000000000772e-07
2.320000000000000118e-01; 7.352859999999999046e-07; 7.335420000000000446e-07
2.330000000000000127e-01; 7.389299999999999073e-07; 7.338719999999999423e-07
2.349999999999999867e-01; 7.442160000000000249e-07; 7.337140000000000279e-07
2.359999999999999876e-01; 7.484179999999999721e-07; 7.346639999999999934e-07
2.379999999999999893e-01; 7.534520000000000158e-07; 7.336159999999999697e-07
2.389999999999999902e-01; 7.568160000000000186e-07; 7.336859999999999961e-07
2.409999999999999920e-01; 7.624400000000000430e-07; 7.335720000000000257e-07
2.419999999999999929e-01; 7.669280000000000499e-07; 7.335180000000000174e-07
2.429999999999999938e-01; 7.715779999999999757e-07; 7.335439999999999939e-07
2.449999999999999956e-01; 7.753500000000000177e-07; 7.338220000000000445e-07
2.459999999999999964e-01; 7.806919999999999870e-07; 7.347500000000000380e-07
2.469999999999999973e-01; 7.854779999999999612e-07; 7.336660000000000793e-07
2.489999999999999991e-01; 7.902659999999999906e-07; 7.334959999999999395e-07
