# Quantum Hall

date: 2015/11/18 14/04/38
current: 1e9A
gate: 0.160V

B (T); Vxx (V); Vxy (V)
0.000000000000000000e+00; -1.113552000000000044e-08; 1.277595999999999948e-06
0.000000000000000000e+00; -1.152983999999999996e-08; 1.277786000000000110e-06
0.000000000000000000e+00; -1.114267999999999982e-08; 1.277872000000000155e-06
0.000000000000000000e+00; -1.147875999999999935e-08; 1.277460000000000005e-06
0.000000000000000000e+00; -1.140795999999999914e-08; 1.277907999999999878e-06
0.000000000000000000e+00; -1.146622000000000055e-08; 1.277606000000000012e-06
0.000000000000000000e+00; -1.101274000000000058e-08; 1.277673999999999983e-06
0.000000000000000000e+00; -9.044639999999998661e-09; 1.277506000000000005e-06
2.000000000000000042e-03; -3.056160000000000332e-09; 1.277546000000000050e-06
4.000000000000000083e-03; 2.520060000000000084e-09; 1.277257999999999935e-06
5.000000000000000104e-03; 7.975299999999999953e-09; 1.276657999999999890e-06
6.000000000000000125e-03; 1.352999999999999939e-08; 1.278328000000000037e-06
7.000000000000000146e-03; 1.953192000000000011e-08; 1.275890000000000078e-06
8.999999999999999320e-03; 2.503740000000000290e-08; 1.276647999999999826e-06
1.000000000000000021e-02; 3.002019999999999772e-08; 1.280241999999999931e-06
1.200000000000000025e-02; 3.536800000000000277e-08; 1.275517999999999974e-06
1.299999999999999940e-02; 4.182059999999999929e-08; 1.276026000000000020e-06
1.499999999999999944e-02; 4.736540000000000272e-08; 1.276026000000000020e-06
1.600000000000000033e-02; 5.272479999999999974e-08; 1.276285999999999998e-06
1.700000000000000122e-02; 5.873299999999999395e-08; 1.275016000000000093e-06
1.899999999999999953e-02; 6.392739999999999578e-08; 1.275849999999999821e-06
2.000000000000000042e-02; 7.030939999999999297e-08; 1.276039999999999983e-06
2.199999999999999872e-02; 7.603339999999999843e-08; 1.278973999999999869e-06
2.299999999999999961e-02; 8.127359999999999529e-08; 1.275195999999999979e-06
2.500000000000000139e-02; 8.726019999999999941e-08; 1.274941999999999956e-06
2.599999999999999881e-02; 9.277280000000000869e-08; 1.275412000000000012e-06
2.699999999999999969e-02; 9.849059999999999653e-08; 1.274221999999999987e-06
2.900000000000000147e-02; 1.036725999999999962e-07; 1.275190000000000025e-06
2.999999999999999889e-02; 1.097776000000000102e-07; 1.275021999999999835e-06
3.200000000000000067e-02; 1.154030000000000044e-07; 1.274949999999999965e-06
3.300000000000000155e-02; 1.200363999999999988e-07; 1.277652000000000011e-06
3.500000000000000333e-02; 1.264675999999999962e-07; 1.274373999999999947e-06
3.599999999999999728e-02; 1.324327999999999946e-07; 1.274259999999999977e-06
3.699999999999999817e-02; 1.380824000000000004e-07; 1.274579999999999916e-06
3.899999999999999994e-02; 1.428063999999999836e-07; 1.277219999999999945e-06
4.000000000000000083e-02; 1.491318000000000040e-07; 1.273932000000000028e-06
4.200000000000000261e-02; 1.545789999999999974e-07; 1.274150000000000117e-06
4.299999999999999656e-02; 1.606858000000000028e-07; 1.274317999999999884e-06
4.399999999999999745e-02; 1.662315999999999809e-07; 1.276804000000000109e-06
4.599999999999999922e-02; 1.717261999999999962e-07; 1.274296000000000123e-06
4.700000000000000011e-02; 1.772907999999999850e-07; 1.274253999999999811e-06
4.900000000000000189e-02; 1.836970000000000070e-07; 1.274181999999999941e-06
5.000000000000000278e-02; 1.881349999999999836e-07; 1.273996000000000101e-06
5.099999999999999672e-02; 1.948583999999999788e-07; 1.273596000000000071e-06
5.299999999999999850e-02; 2.008439999999999951e-07; 1.273897999999999937e-06
5.399999999999999939e-02; 2.062760000000000135e-07; 1.274160000000000181e-06
5.600000000000000117e-02; 2.120980000000000242e-07; 1.276720000000000119e-06
5.700000000000000205e-02; 2.170479999999999991e-07; 1.274100000000000007e-06
5.800000000000000294e-02; 2.230800000000000097e-07; 1.273759999999999939e-06
5.999999999999999778e-02; 2.289079999999999743e-07; 1.273699999999999977e-06
6.199999999999999956e-02; 2.342959999999999958e-07; 1.274846000000000059e-06
6.300000000000000044e-02; 2.395439999999999909e-07; 1.273605999999999923e-06
6.400000000000000133e-02; 2.454960000000000166e-07; 1.273746000000000188e-06
6.500000000000000222e-02; 2.508259999999999724e-07; 1.274037999999999990e-06
6.700000000000000400e-02; 2.567799999999999475e-07; 1.276634000000000075e-06
6.900000000000000577e-02; 2.616339999999999988e-07; 1.274132000000000043e-06
7.000000000000000666e-02; 2.679779999999999926e-07; 1.273586000000000007e-06
7.099999999999999367e-02; 2.733899999999999884e-07; 1.273468000000000137e-06
7.199999999999999456e-02; 2.775600000000000052e-07; 1.275282000000000024e-06
7.399999999999999634e-02; 2.842459999999999633e-07; 1.273660000000000143e-06
7.599999999999999811e-02; 2.904779999999999889e-07; 1.273607999999999979e-06
7.699999999999999900e-02; 2.958980000000000467e-07; 1.273321999999999919e-06
7.799999999999999989e-02; 3.015560000000000038e-07; 1.274633999999999924e-06
8.000000000000000167e-02; 3.064940000000000444e-07; 1.273066000000000052e-06
8.100000000000000255e-02; 3.130040000000000147e-07; 1.272880000000000212e-06
8.300000000000000433e-02; 3.182479999999999788e-07; 1.274895999999999957e-06
8.400000000000000522e-02; 3.242440000000000545e-07; 1.272993999999999971e-06
8.500000000000000611e-02; 3.290039999999999992e-07; 1.273359999999999909e-06
8.699999999999999400e-02; 3.354040000000000035e-07; 1.273198000000000096e-06
8.799999999999999489e-02; 3.410799999999999811e-07; 1.275521999999999872e-06
8.999999999999999667e-02; 3.471220000000000030e-07; 1.273036000000000071e-06
9.099999999999999756e-02; 3.517279999999999848e-07; 1.273036000000000071e-06
9.199999999999999845e-02; 3.579839999999999847e-07; 1.273178000000000179e-06
9.400000000000000022e-02; 3.636259999999999766e-07; 1.273046000000000135e-06
9.500000000000000111e-02; 3.695439999999999638e-07; 1.273238000000000141e-06
9.600000000000000200e-02; 3.747120000000000006e-07; 1.272736000000000049e-06
9.800000000000000377e-02; 3.807239999999999885e-07; 1.273122000000000116e-06
1.000000000000000056e-01; 3.863720000000000401e-07; 1.272817999999999983e-06
1.010000000000000064e-01; 3.910740000000000249e-07; 1.273157999999999839e-06
1.019999999999999934e-01; 3.976799999999999982e-07; 1.273104000000000042e-06
1.039999999999999952e-01; 4.036099999999999990e-07; 1.273130000000000125e-06
1.049999999999999961e-01; 4.095239999999999817e-07; 1.272986000000000173e-06
1.069999999999999979e-01; 4.152119999999999728e-07; 1.272869999999999936e-06
1.079999999999999988e-01; 4.199979999999999999e-07; 1.273074000000000061e-06
1.089999999999999997e-01; 4.261300000000000180e-07; 1.273476000000000147e-06
1.110000000000000014e-01; 4.319460000000000484e-07; 1.274692000000000043e-06
1.120000000000000023e-01; 4.359920000000000305e-07; 1.272934000000000008e-06
1.140000000000000041e-01; 4.427860000000000052e-07; 1.272920000000000045e-06
1.150000000000000050e-01; 4.491179999999999854e-07; 1.273198000000000096e-06
1.160000000000000059e-01; 4.546639999999999743e-07; 1.272602000000000161e-06
1.179999999999999938e-01; 4.589779999999999956e-07; 1.273029999999999905e-06
1.199999999999999956e-01; 4.658260000000000315e-07; 1.273182000000000078e-06
1.209999999999999964e-01; 4.716840000000000036e-07; 1.275163999999999943e-06
1.219999999999999973e-01; 4.768360000000000222e-07; 1.272961999999999934e-06
1.229999999999999982e-01; 4.830140000000000395e-07; 1.273183999999999921e-06
1.250000000000000000e-01; 4.879960000000000242e-07; 1.273183999999999921e-06
1.270000000000000018e-01; 4.938140000000000039e-07; 1.275328000000000023e-06
1.280000000000000027e-01; 4.995000000000000457e-07; 1.272993999999999971e-06
1.290000000000000036e-01; 5.054860000000000041e-07; 1.273349999999999845e-06
1.310000000000000053e-01; 5.104380000000000077e-07; 1.273261999999999957e-06
1.320000000000000062e-01; 5.161739999999999474e-07; 1.273036000000000071e-06
1.340000000000000080e-01; 5.219220000000000065e-07; 1.273215999999999958e-06
1.350000000000000089e-01; 5.283400000000000313e-07; 1.272986000000000173e-06
1.360000000000000098e-01; 5.331479999999999775e-07; 1.273602000000000025e-06
1.380000000000000115e-01; 5.395879999999999743e-07; 1.274054000000000008e-06
1.390000000000000124e-01; 5.448859999999999996e-07; 1.273193999999999986e-06
1.409999999999999865e-01; 5.508160000000000004e-07; 1.273228000000000077e-06
1.419999999999999873e-01; 5.554519999999999633e-07; 1.273261999999999957e-06
1.429999999999999882e-01; 5.613999999999999316e-07; 1.274180000000000098e-06
1.449999999999999900e-01; 5.675460000000000715e-07; 1.272645999999999894e-06
1.469999999999999918e-01; 5.733940000000000323e-07; 1.273131999999999968e-06
1.479999999999999927e-01; 5.780960000000000171e-07; 1.275208000000000099e-06
1.489999999999999936e-01; 5.842079999999999596e-07; 1.273228000000000077e-06
1.499999999999999944e-01; 5.902000000000000836e-07; 1.273036000000000071e-06
1.519999999999999962e-01; 5.960660000000000119e-07; 1.273096000000000033e-06
1.539999999999999980e-01; 6.005920000000000089e-07; 1.274394000000000076e-06
1.549999999999999989e-01; 6.072179999999999519e-07; 1.273145999999999931e-06
1.559999999999999998e-01; 6.126660000000000943e-07; 1.273153999999999940e-06
1.570000000000000007e-01; 6.182820000000000038e-07; 1.272743999999999846e-06
1.590000000000000024e-01; 6.235940000000000980e-07; 1.273613999999999932e-06
1.600000000000000033e-01; 6.294039999999999627e-07; 1.273092000000000135e-06
1.620000000000000051e-01; 6.352699999999999968e-07; 1.273063999999999997e-06
1.630000000000000060e-01; 6.409779999999999048e-07; 1.273155999999999995e-06
1.650000000000000078e-01; 6.459239999999999545e-07; 1.274646000000000044e-06
1.660000000000000087e-01; 6.517580000000000582e-07; 1.273402000000000010e-06
1.670000000000000095e-01; 6.573160000000000607e-07; 1.273096000000000033e-06
1.690000000000000113e-01; 6.631359999999999897e-07; 1.273272000000000021e-06
1.710000000000000131e-01; 6.682299999999999955e-07; 1.273140000000000189e-06
1.719999999999999862e-01; 6.741180000000000017e-07; 1.273261999999999957e-06
1.729999999999999871e-01; 6.798999999999999405e-07; 1.273080000000000015e-06
1.739999999999999880e-01; 6.858220000000000382e-07; 1.274970000000000094e-06
1.759999999999999898e-01; 6.906839999999999926e-07; 1.273423999999999982e-06
1.779999999999999916e-01; 6.966880000000000244e-07; 1.273394000000000001e-06
1.789999999999999925e-01; 7.021119999999999279e-07; 1.273007999999999933e-06
1.799999999999999933e-01; 7.064619999999999371e-07; 1.273276000000000131e-06
1.819999999999999951e-01; 7.132580000000000199e-07; 1.273198000000000096e-06
1.829999999999999960e-01; 7.196499999999999623e-07; 1.273036000000000071e-06
1.849999999999999978e-01; 7.255460000000000834e-07; 1.273150000000000042e-06
1.859999999999999987e-01; 7.297100000000000405e-07; 1.274753999999999849e-06
1.869999999999999996e-01; 7.369439999999999317e-07; 1.273786000000000022e-06
1.890000000000000013e-01; 7.423999999999999774e-07; 1.273242000000000040e-06
1.900000000000000022e-01; 7.484700000000000311e-07; 1.273613999999999932e-06
1.920000000000000040e-01; 7.541620000000000268e-07; 1.273394000000000001e-06
1.930000000000000049e-01; 7.587119999999999451e-07; 1.273807999999999994e-06
1.940000000000000058e-01; 7.649020000000000290e-07; 1.273506000000000128e-06
1.960000000000000075e-01; 7.708579999999999004e-07; 1.274297999999999967e-06
1.970000000000000084e-01; 7.764560000000000542e-07; 1.273559999999999924e-06
1.990000000000000102e-01; 7.815159999999999685e-07; 1.273397999999999899e-06
2.000000000000000111e-01; 7.869740000000000694e-07; 1.273561999999999979e-06
2.020000000000000129e-01; 7.932879999999999762e-07; 1.275363999999999958e-06
2.030000000000000138e-01; 7.973600000000000407e-07; 1.273472000000000036e-06
2.049999999999999878e-01; 8.043740000000000002e-07; 1.273691999999999968e-06
2.059999999999999887e-01; 8.108760000000000143e-07; 1.273729999999999958e-06
2.069999999999999896e-01; 8.165899999999999820e-07; 1.275858000000000042e-06
2.089999999999999913e-01; 8.202279999999999250e-07; 1.273445999999999954e-06
2.099999999999999922e-01; 8.268880000000000653e-07; 1.274372000000000104e-06
2.109999999999999931e-01; 8.330860000000000524e-07; 1.273891999999999983e-06
2.129999999999999949e-01; 8.389720000000000033e-07; 1.273883999999999974e-06
2.139999999999999958e-01; 8.449720000000000306e-07; 1.274181999999999941e-06
2.159999999999999976e-01; 8.494360000000000102e-07; 1.274061999999999805e-06
2.169999999999999984e-01; 8.555759999999999845e-07; 1.274415999999999836e-06
2.190000000000000002e-01; 8.616799999999999179e-07; 1.274760000000000014e-06
2.200000000000000011e-01; 8.658579999999999438e-07; 1.274251999999999968e-06
2.220000000000000029e-01; 8.727859999999999645e-07; 1.274538000000000027e-06
2.230000000000000038e-01; 8.788079999999999638e-07; 1.274847999999999902e-06
2.240000000000000047e-01; 8.843220000000000223e-07; 1.275483999999999882e-06
2.250000000000000056e-01; 8.904579999999999920e-07; 1.274584000000000026e-06
2.270000000000000073e-01; 8.952179999999999896e-07; 1.274695999999999942e-06
2.290000000000000091e-01; 9.011420000000000366e-07; 1.275132000000000118e-06
2.300000000000000100e-01; 9.063680000000000862e-07; 1.274701999999999896e-06
2.310000000000000109e-01; 9.117039999999999958e-07; 1.275448000000000159e-06
2.330000000000000127e-01; 9.182600000000000182e-07; 1.275178000000000118e-06
2.340000000000000135e-01; 9.234500000000000270e-07; 1.275890000000000078e-06
2.359999999999999876e-01; 9.295599999999999143e-07; 1.274962000000000085e-06
2.369999999999999885e-01; 9.336920000000000468e-07; 1.275544000000000056e-06
2.379999999999999893e-01; 9.409840000000000568e-07; 1.275862000000000152e-06
2.399999999999999911e-01; 9.471939999999999516e-07; 1.275905999999999884e-06
2.409999999999999920e-01; 9.513799999999999866e-07; 1.275582000000000046e-06
2.429999999999999938e-01; 9.572319999999999519e-07; 1.275863999999999996e-06
2.439999999999999947e-01; 9.628340000000000043e-07; 1.276357999999999868e-06
2.449999999999999956e-01; 9.695860000000000372e-07; 1.277246000000000027e-06
2.469999999999999973e-01; 9.748560000000000308e-07; 1.276440000000000013e-06
2.489999999999999991e-01; 9.799960000000000358e-07; 1.276348000000000015e-06
2.500000000000000000e-01; 9.862079999999999858e-07; 1.276566000000000103e-06
2.510000000000000009e-01; 9.923640000000000841e-07; 1.278337999999999889e-06
2.530000000000000027e-01; 9.966200000000000396e-07; 1.276726000000000073e-06
2.540000000000000036e-01; 1.003426000000000081e-06; 1.276529999999999957e-06
2.560000000000000053e-01; 1.009196000000000112e-06; 1.276759999999999953e-06
2.570000000000000062e-01; 1.015322000000000017e-06; 1.277465999999999959e-06
2.580000000000000071e-01; 1.020871999999999905e-06; 1.277259999999999990e-06
2.600000000000000089e-01; 1.025575999999999945e-06; 1.277075999999999993e-06
2.610000000000000098e-01; 1.031537999999999982e-06; 1.277070000000000040e-06
2.620000000000000107e-01; 1.037751999999999987e-06; 1.277044000000000169e-06
2.640000000000000124e-01; 1.043198000000000180e-06; 1.277698000000000011e-06
2.650000000000000133e-01; 1.048112000000000088e-06; 1.277808000000000082e-06
2.670000000000000151e-01; 1.054855999999999900e-06; 1.277776000000000046e-06
2.680000000000000160e-01; 1.060907999999999880e-06; 1.277726000000000148e-06
2.700000000000000178e-01; 1.065348000000000045e-06; 1.277817999999999935e-06
2.710000000000000187e-01; 1.071018000000000068e-06; 1.278020000000000005e-06
2.720000000000000195e-01; 1.076609999999999845e-06; 1.278439999999999952e-06
2.740000000000000213e-01; 1.083452000000000033e-06; 1.277852000000000026e-06
2.750000000000000222e-01; 1.087150000000000044e-06; 1.277895999999999970e-06
2.770000000000000240e-01; 1.094008000000000038e-06; 1.278345999999999898e-06
2.780000000000000249e-01; 1.100517999999999955e-06; 1.279104000000000070e-06
2.790000000000000258e-01; 1.106448000000000168e-06; 1.278634000000000013e-06
2.810000000000000275e-01; 1.110678000000000041e-06; 1.278637999999999912e-06
2.829999999999999738e-01; 1.117203999999999976e-06; 1.278614000000000096e-06
2.839999999999999747e-01; 1.123614000000000098e-06; 1.280342000000000150e-06
2.849999999999999756e-01; 1.129703999999999857e-06; 1.278584000000000115e-06
2.869999999999999774e-01; 1.133743999999999991e-06; 1.278739999999999974e-06
2.879999999999999782e-01; 1.140647999999999984e-06; 1.278799999999999937e-06
2.899999999999999800e-01; 1.146296000000000036e-06; 1.280438000000000047e-06
2.909999999999999809e-01; 1.152386000000000007e-06; 1.278350000000000009e-06
2.919999999999999818e-01; 1.156527999999999992e-06; 1.278558000000000033e-06
2.939999999999999836e-01; 1.163589999999999900e-06; 1.278772000000000011e-06
2.949999999999999845e-01; 1.169041999999999835e-06; 1.279056000000000015e-06
2.969999999999999862e-01; 1.175458000000000122e-06; 1.278636000000000068e-06
2.979999999999999871e-01; 1.179478000000000128e-06; 1.278890000000000092e-06
2.999999999999999889e-01; 1.186493999999999825e-06; 1.279071999999999822e-06
3.009999999999999898e-01; 1.192130000000000180e-06; 1.279635999999999932e-06
3.019999999999999907e-01; 1.198297999999999975e-06; 1.279243999999999911e-06
3.039999999999999925e-01; 1.204163999999999903e-06; 1.279276000000000159e-06
3.049999999999999933e-01; 1.208767999999999935e-06; 1.279400000000000193e-06
3.069999999999999951e-01; 1.214583999999999966e-06; 1.280026000000000109e-06
3.079999999999999960e-01; 1.220940000000000079e-06; 1.279130000000000152e-06
